county,year,sex,race,ethnicity,total
Alachua,2013,Female,White,Hispanic,4235
NA,NA,NA,NA,Non-Hispanic,22723
NA,NA,NA,NA,Total,26958
NA,NA,NA,Black & Other,Hispanic,506
NA,NA,NA,NA,Non-Hispanic,11631
NA,NA,NA,NA,Total,12137
NA,NA,NA,Total,NA,39095
NA,NA,Male,White,Hispanic,3864
NA,NA,NA,NA,Non-Hispanic,21815
NA,NA,NA,NA,Total,25679
NA,NA,NA,Black & Other,Hispanic,475
NA,NA,NA,NA,Non-Hispanic,10492
NA,NA,NA,NA,Total,10967
NA,NA,NA,Total,NA,36646
NA,NA,Total,NA,NA,75741
NA,2014,Female,White,Hispanic,4241
NA,NA,NA,NA,Non-Hispanic,22603
NA,NA,NA,NA,Total,26844
NA,NA,NA,Black & Other,Hispanic,523
NA,NA,NA,NA,Non-Hispanic,11586
NA,NA,NA,NA,Total,12109
NA,NA,NA,Total,NA,38953
NA,NA,Male,White,Hispanic,3894
NA,NA,NA,NA,Non-Hispanic,21943
NA,NA,NA,NA,Total,25837
NA,NA,NA,Black & Other,Hispanic,460
NA,NA,NA,NA,Non-Hispanic,10561
NA,NA,NA,NA,Total,11021
NA,NA,NA,Total,NA,36858
NA,NA,Total,NA,NA,75811
NA,2015,Female,White,Hispanic,4313
NA,NA,NA,NA,Non-Hispanic,22587
NA,NA,NA,NA,Total,26900
NA,NA,NA,Black & Other,Hispanic,502
NA,NA,NA,NA,Non-Hispanic,11592
NA,NA,NA,NA,Total,12094
NA,NA,NA,Total,NA,38994
NA,NA,Male,White,Hispanic,3879
NA,NA,NA,NA,Non-Hispanic,21857
NA,NA,NA,NA,Total,25736
NA,NA,NA,Black & Other,Hispanic,477
NA,NA,NA,NA,Non-Hispanic,10715
NA,NA,NA,NA,Total,11192
NA,NA,NA,Total,NA,36928
NA,NA,Total,NA,NA,75922
NA,2016,Female,White,Hispanic,4378
NA,NA,NA,NA,Non-Hispanic,22288
NA,NA,NA,NA,Total,26666
NA,NA,NA,Black & Other,Hispanic,472
NA,NA,NA,NA,Non-Hispanic,11457
NA,NA,NA,NA,Total,11929
NA,NA,NA,Total,NA,38595
NA,NA,Male,White,Hispanic,3776
NA,NA,NA,NA,Non-Hispanic,21701
NA,NA,NA,NA,Total,25477
NA,NA,NA,Black & Other,Hispanic,493
NA,NA,NA,NA,Non-Hispanic,10727
NA,NA,NA,NA,Total,11220
NA,NA,NA,Total,NA,36697
NA,NA,Total,NA,NA,75292
NA,2017,Female,White,Hispanic,4404
NA,NA,NA,NA,Non-Hispanic,21744
NA,NA,NA,NA,Total,26148
NA,NA,NA,Black & Other,Hispanic,485
NA,NA,NA,NA,Non-Hispanic,11288
NA,NA,NA,NA,Total,11773
NA,NA,NA,Total,NA,37921
NA,NA,Male,White,Hispanic,3815
NA,NA,NA,NA,Non-Hispanic,21315
NA,NA,NA,NA,Total,25130
NA,NA,NA,Black & Other,Hispanic,480
NA,NA,NA,NA,Non-Hispanic,10734
NA,NA,NA,NA,Total,11214
NA,NA,NA,Total,NA,36344
NA,NA,Total,NA,NA,74265
NA,Total,NA,NA,NA,377031
