ggplot_map_data,ds_population_suicide,corrections,region,managing_entity
alachua,Alachua,alachua,Northeast,Luthern Services Florida
baker,Baker,baker,Northeast,Luthern Services Florida
bay,Bay,bay,Northwest,Big Bend Community Based Care
bradford,Bradford,bradford,Northeast,Luthern Services Florida
brevard,Brevard,brevard,Central,Central Florida Cares Health System
broward,Broward,broward,Southeast,Broward Behavioral Health Coalition
calhoun,Calhoun,calhoun,Northwest,Big Bend Community Based Care
charlotte,Charlotte,charlotte,Suncoast,Central Florida Behavioral Health Network
citrus,Citrus,citrus,Central,Luthern Services Florida
clay,Clay,clay,Northeast,Luthern Services Florida
collier,Collier,collier,Suncoast,Central Florida Behavioral Health Network
columbia,Columbia,columbia,Northeast,Luthern Services Florida
de soto,Desoto,desoto,Suncoast,Central Florida Behavioral Health Network
dixie,Dixie,dixie,Northeast,Luthern Services Florida
duval,Duval,duval,Northeast,Luthern Services Florida
escambia,Escambia,escambia,Northwest,Big Bend Community Based Care
flagler,Flagler,flagler,Northeast,Luthern Services Florida
franklin,Franklin,franklin,Northwest,Big Bend Community Based Care
gadsden,Gadsden,gadsden,Northwest,Big Bend Community Based Care
gilchrist,Gilchrist,gilchrist,Northeast,Luthern Services Florida
glades,Glades,glades,Suncoast,Central Florida Behavioral Health Network
gulf,Gulf,gulf,Northwest,Big Bend Community Based Care
hamilton,Hamilton,hamilton,Northeast,Luthern Services Florida
hardee,Hardee,hardee,Central,Central Florida Behavioral Health Network
hendry,Hendry,hendry,Suncoast,Central Florida Behavioral Health Network
hernando,Hernando,hernando,Central,Luthern Services Florida
highlands,Highlands,highlands,Central,Central Florida Behavioral Health Network
hillsborough,Hillsborough,hillsborough,Suncoast,Central Florida Behavioral Health Network
holmes,Holmes,holmes,Northwest,Big Bend Community Based Care
indian river,Indian River,indian river,Southeast,Southeast Florida Behavioral Health Network
jackson,Jackson,jackson,Northwest,Big Bend Community Based Care
jefferson,Jefferson,jefferson,Northwest,Big Bend Community Based Care
lafayette,Lafayette,lafayette,Northeast,Luthern Services Florida
lake,Lake,lake,Central,Luthern Services Florida
lee,Lee,lee,Suncoast,Central Florida Behavioral Health Network
leon,Leon,leon,Northwest,Big Bend Community Based Care
levy,Levy,levy,Northeast,Luthern Services Florida
liberty,Liberty,liberty,Northwest,Big Bend Community Based Care
madison,Madison,madison,Northeast,Big Bend Community Based Care
manatee,Manatee,manatee,Suncoast,Central Florida Behavioral Health Network
marion,Marion,marion,Central,Luthern Services Florida
martin,Martin,martin,Southeast,Southeast Florida Behavioral Health Network
miami-dade,Miami-Dade,miami-dade,Southern,South Florida Behavioral Health Network
monroe,Monroe,monroe,Southern,South Florida Behavioral Health Network
nassau,Nassau,nassau,Northeast,Luthern Services Florida
okaloosa,Okaloosa,okaloosa,Northwest,Big Bend Community Based Care
okeechobee,Okeechobee,okeechobee,Southeast,Southeast Florida Behavioral Health Network
orange,Orange,orange,Central,Central Florida Cares Health System
osceola,Osceola,osceola,Central,Central Florida Cares Health System
palm beach,Palm Beach,palm beach,Southeast,Southeast Florida Behavioral Health Network
pasco,Pasco,pasco,Suncoast,Central Florida Behavioral Health Network
pinellas,Pinellas,pinellas,Suncoast,Central Florida Behavioral Health Network
polk,Polk,polk,Central,Central Florida Behavioral Health Network
putnam,Putnam,putnam,Northeast,Luthern Services Florida
santa rosa,Santa Rosa,santa rosa,Northwest,Big Bend Community Based Care
sarasota,Sarasota,sarasota,Suncoast,Central Florida Behavioral Health Network
seminole,Seminole,seminole,Central,Central Florida Cares Health System
st johns,Saint Johns,saint johns,Northeast,Luthern Services Florida
st lucie,Saint Lucie,saint lucie,Southeast,Southeast Florida Behavioral Health Network
sumter,Sumter,sumter,Central,Luthern Services Florida
suwannee,Suwannee,suwannee,Northeast,Luthern Services Florida
taylor,Taylor,taylor,Northeast,Big Bend Community Based Care
union,Union,union,Northeast,Luthern Services Florida
volusia,Volusia,volusia,Northeast,Luthern Services Florida
wakulla,Wakulla,wakulla,Northwest,Big Bend Community Based Care
walton,Walton,walton,Northwest,Big Bend Community Based Care
washington,Washington,washington,Northwest,Big Bend Community Based Care
